Tabla PRODUCTO
Prod_id;Cod_prod;Nom_prod;Concent;Presentac;Fracciones;Prec_compra;Prec_venta;Cat_id
1;3;Backus;1Lt;Caja plastico x12 Unidades;20;6;12;2
2;5;Backus;1Lt;Caja plastico x12 Unidades;20;6;12;2
3;6;Backus;600ml;Paquete x6 Unidades;30;5;12;2
4;95;Backus;500ml;Paquete x6 Unidades;30;3;6;2
5;96;BM Licores;330ml;Paquete x4 Unidades;20;5;10;4
6;102;BM Licores;1Lt;Caja x12 unidades;5;26;37;4
7;108;BM Licores;1Lt;Caja x12 unidades;5;17;26;4
8;138;BM Licores;1Lt;Caja x12 unidades;5;50;67;4
9;151;BM Licores;750ml;Caja x6 unidades;5;47;65;4
10;165;BM Licores;750ml;Caja x6 unidades;5;45;60;4
11;166;Zenith;355ml;Caja x18 unidades;3;11;17;1
12;176;Barbarian;330ml;Caja x18 unidades;3;11;17;1
13;180;Viuda;330ml;Caja x18 unidades;3;11;17;1
14;190;Sierra Andina;330ml;Caja x18 unidades;3;11;17;1
